5.30000
   1   0   0
  Station:  ALBIA IA                                       CLIGEN VER. 5.30000 -r:    0 -I: 0
 Latitude Longitude Elevation (m) Obs. Years   Beginning year  Years simulated Command Line:
    41.03   -92.80         286          45           1               1          -istations/ia/Ia130112.par -oOUT.TXT -y1 -t5 -F -b1 -H 
 Observed monthly ave max temperature (C)
   0.0   3.1   9.1  17.3  23.4  28.2  30.7  29.4  25.3  19.2   9.8   2.2
 Observed monthly ave min temperature (C)
  -8.8  -6.8  -2.0   4.9  10.8  15.9  18.5  17.2  12.5   6.5  -0.6  -6.5
 Observed monthly ave solar radiation (Langleys/day)
 175.0 254.0 330.0 411.0 492.0 549.0 524.0 475.0 387.0 286.0 196.0 147.0
 Observed monthly ave precipitation (mm)
  26.4  28.0  59.4  85.9 107.5 111.9 117.7  93.7 104.8  61.4  58.8  33.5
 da mo year  prcp  dur   tp     ip  tmax  tmin  rad  w-vl w-dir  tdew
             (mm)  (h)               (C)   (C) (l/d) (m/s)(Deg)   (C)
 31  7    1   0.0  0.00 0.00   0.00  27.9  15.3 388.  3.9  156.  15.3
  1  8    1   2.6  2.31 0.05   1.77  30.5  19.1 441.  4.0  128.  17.5
  2  8    1  12.0  0.85 0.08   5.02  23.0  12.0 631.  3.8  173.  11.3
  3  8    1   9.8  0.91 0.03   1.83  31.0  20.8 477.  4.2   44.  22.3
  4  8    1   6.3  1.51 0.01   1.42  27.5  16.6 424.  5.2  243.  16.7
  5  8    1   0.0  0.00 0.00   0.00  25.5  12.3 456.  9.0  215.  13.8
  6  8    1   0.0  0.00 0.00   0.00  25.4  15.1 283.  6.7   80.  15.4
  7  8    1  57.6  2.28 0.07   3.44  36.2  22.2 333.  4.8  209.  22.0
  8  8    1   0.3  1.49 0.07   3.17  29.4  16.7 439.  1.3  136.  16.4
  9  8    1   0.0  0.00 0.00   0.00  28.1  16.8 396.  5.1  324.  16.7
 10  8    1  22.7  1.31 0.08  10.89  31.8  18.3 475.  3.7   63.  19.2
 11  8    1   0.0  0.00 0.00   0.00  25.5  10.8 653.  4.1  191.  11.2
 12  8    1   0.0  0.00 0.00   0.00  27.5  14.6 592.  2.1  118.  15.8
 13  8    1   0.0  0.00 0.00   0.00  31.2  19.4 276.  3.1   89.  19.9
 14  8    1   0.0  0.00 0.00   0.00  28.8  15.4 626.  5.1  168.  16.7
 15  8    1   0.0  0.00 0.00   0.00  29.4  17.9 503.  6.4   11.  16.8
 16  8    1   2.0  1.85 0.54   9.18  31.9  19.1 509.  3.3  181.  19.8
 17  8    1   1.8  0.71 0.13   3.02  27.0  16.2 527.  4.6   34.  17.3
 18  8    1   0.0  0.00 0.00   0.00  34.1  21.7 439.  6.8  119.  19.8
 19  8    1   0.0  0.00 0.00   0.00  19.4   9.1 539.  4.0   43.  10.5
 20  8    1   0.0  0.00 0.00   0.00  32.6  19.3 307.  1.4  243.  18.5
 21  8    1   3.9  1.48 0.04  10.88  19.8  10.4 476.  2.2  227.  10.9
 22  8    1   0.0  0.00 0.00   0.00  25.6  14.6 657.  3.5  142.  15.1
 23  8    1  36.9  0.59 0.06   1.01  33.7  19.8 445.  3.1  183.  19.8
 24  8    1   0.0  0.00 0.00   0.00  35.8  22.8 537.  2.5  330.  24.0
 25  8    1   0.0  0.00 0.00   0.00  30.5  16.7 398.  5.4  123.  16.9
 26  8    1   0.0  0.00 0.00   0.00  33.9  20.3 533.  7.8  174.  21.7
 27  8    1   2.7  1.99 0.03   5.37  27.3  15.4 473.  1.4  106.  18.0
 28  8    1   2.1  1.94 0.07  10.33  30.2  20.2 600.  6.8  220.  20.5
 29  8    1   1.5  1.42 0.01   7.92  28.7  15.1 256.  4.3  333.  14.8
 30  8    1   1.5  2.27 0.08   8.34  32.9  19.9 578.  1.7  357.  20.3
 31  8    1   1.5  2.66 0.21   4.35  21.7  12.1 241.  4.2  181.  12.1
  1  9    1   8.2  3.25 0.06  12.57  30.2  18.3 292.  3.7  143.  17.7
  2  9    1   0.0  0.00 0.00   0.00  14.4   0.4 294.  2.6  266.   1.0
  3  9    1   0.0  0.00 0.00   0.00  20.5   8.7 262.  3.6  202.   7.5
  4  9    1   0.0  0.00 0.00   0.00  22.2  10.3 503.  5.5  241.   8.8
  5  9    1   0.0  0.00 0.00   0.00  26.4  13.5 527.  3.8  312.  13.0
  6  9    1   0.9  1.90 0.01   2.02  20.2   7.6 411.  3.3  301.   5.7
  7  9    1   0.0  0.00 0.00   0.00  26.9  15.8 345.  3.2   66.  13.5
  8  9    1  18.5  5.93 0.00   8.21  31.4  18.8 470.  3.9  122.  18.3
  9  9    1   0.0  0.00 0.00   0.00  29.8  17.1 396.  4.0  122.  17.6
 10  9    1   0.0  0.00 0.00   0.00  26.8  13.5 454.  1.5   90.  11.7
 11  9    1   0.0  0.00 0.00   0.00  22.5  10.3 394.  1.9  266.   9.7
 12  9    1   9.1  1.37 0.23   1.01  29.5  15.5 440.  3.6  280.  17.2
 13  9    1   0.0  0.00 0.00   0.00  24.5   9.1 182.  8.0  311.  11.2
 14  9    1   0.0  0.00 0.00   0.00  27.7  15.2 503.  3.5   53.  13.1
 15  9    1   0.0  0.00 0.00   0.00  28.5  14.6 366.  9.3  293.  14.6
 16  9    1  37.2  2.21 0.05   3.82  37.1  24.0 353.  7.0  307.  24.6
 17  9    1   2.6  3.83 0.06  10.27  24.5  11.9 468.  8.0  258.  10.8
 18  9    1   0.0  0.00 0.00   0.00  19.5   6.9 377.  2.5  236.   6.4
 19  9    1   0.0  0.00 0.00   0.00  27.7  15.7 505.  3.9  179.  14.7
